id_cliente,credit_aprobado,línea_credito_potencial,delegacion,estado_civil,saldo_promedio,tipo_cuenta,total_depositos
128,1.0,0.0,Benito Juarez,soltero/a,496120.91,Ahorro,2
369,0.0,341512.1585,Benito Juarez,soltero/a,338130.85,Ahorro,2
393,1.0,196368.348,Azcapotzalco,casado/a,163640.29,Ahorro,3
508,0.0,452707.1086,Coyoacan,viudo/a,448224.86,Ahorro,2
518,1.0,1031268.36,Azcapotzalco,viudo/a,859390.3,Ahorro,2
574,1.0,635724.384,Tlalpan,viudo/a,529770.32,Ahorro,2
729,1.0,623506.152,Azcapotzalco,viudo/a,519588.46,Ahorro,2
777,1.0,186228.78,Benito Juarez,soltero/a,155190.65,Ahorro,2
837,0.0,845740.2054000001,Coyoacan,viudo/a,837366.54,Ahorro,2
857,0.0,461924.5908,Venustiano Carranza,casado/a,457351.08,Ahorro,2
956,0.0,339020.1754,Iztapalapa,soltero/a,335663.54,Ahorro,2
1002,0.0,446650.9365,Venustiano Carranza,casado/a,442228.65,Ahorro,2
1153,1.0,214417.512,Milpa Alta,soltero/a,178681.26,Ahorro,2
1388,0.0,995873.9582,Iztapalapa,viudo/a,986013.82,Ahorro,2
1542,1.0,0.0,Coyoacan,soltero/a,905918.46,Ahorro,2
1545,0.0,989118.2298,Tlahuac,soltero/a,979324.98,Ahorro,2
1664,1.0,241247.208,Magdalena Contreras,viudo/a,201039.34,Ahorro,2
1727,0.0,612422.4183,Gustavo A. Madero,viudo/a,606358.83,Ahorro,2
2045,0.0,790967.5619999999,Venustiano Carranza,viudo/a,783136.2,Ahorro,2
2047,0.0,336298.3668,Iztapalapa,soltero/a,332968.68,Ahorro,2
2226,0.0,940413.222,Coyoacan,casado/a,931102.2,Ahorro,2
2239,1.0,296119.152,Cuauhtemoc,viudo/a,246765.96,Ahorro,3
2278,1.0,429289.944,Tlalpan,soltero/a,357741.62,Ahorro,2
2370,1.0,117539.7,Xochimilco,viudo/a,97949.75,Ahorro,2
2379,0.0,443668.9014,Milpa Alta,soltero/a,439276.14,Ahorro,2
2575,1.0,708257.7839999999,Milpa Alta,casado/a,590214.82,Ahorro,2
2816,1.0,579328.536,Alvaro Obregon,viudo/a,482773.78,Ahorro,2
3035,1.0,0.0,Iztapalapa,soltero/a,982485.92,Ahorro,2
3196,1.0,463266.492,Gustavo A. Madero,soltero/a,386055.41,Ahorro,2
3345,1.0,498414.576,Coyoacan,soltero/a,415345.48,Ahorro,2
3747,1.0,344358.06,Cuajimalpa,casado/a,286965.05,Ahorro,2
3958,0.0,360570.6262,Xochimilco,viudo/a,357000.62,Ahorro,2
4077,1.0,306762.096,Venustiano Carranza,soltero/a,255635.08,Ahorro,2
4382,0.0,581356.0303,Miguel Hidalgo,casado/a,575600.03,Ahorro,2
4546,1.0,414161.112,Azcapotzalco,soltero/a,345134.26,Ahorro,3
4582,0.0,309729.327,Azcapotzalco,soltero/a,306662.7,Ahorro,2
4603,1.0,461582.196,Alvaro Obregon,casado/a,384651.83,Ahorro,2
4628,1.0,0.0,Cuauhtemoc,casado/a,811061.71,Ahorro,2
4676,1.0,1183776.288,Cuajimalpa,casado/a,986480.24,Ahorro,3
4895,0.0,549878.1986,Miguel Hidalgo,soltero/a,544433.86,Ahorro,2
4970,0.0,508159.7446,Magdalena Contreras,soltero/a,503128.46,Ahorro,2
5186,0.0,460708.6518,Coyoacan,casado/a,456147.18,Ahorro,2
5425,0.0,395842.6138,Iztapalapa,viudo/a,391923.38,Ahorro,2
5612,1.0,985472.304,Tlahuac,viudo/a,821226.92,Ahorro,2
5654,1.0,571514.664,Iztapalapa,soltero/a,476262.22,Ahorro,2
5719,1.0,1106618.064,Azcapotzalco,viudo/a,922181.72,Ahorro,2
5757,1.0,490287.516,Milpa Alta,soltero/a,408572.93,Ahorro,2
5983,1.0,917227.008,Alvaro Obregon,viudo/a,764355.84,Ahorro,2
6519,1.0,607901.88,Iztapalapa,soltero/a,506584.9,Ahorro,2
6551,0.0,759194.3457,Xochimilco,soltero/a,751677.57,Ahorro,2
6618,0.0,30670.3872,Milpa Alta,casado/a,30366.72,Ahorro,2
6725,1.0,998724.948,Benito Juarez,soltero/a,832270.79,Ahorro,2
6841,0.0,315912.0117,Cuauhtemoc,viudo/a,312784.17,Ahorro,2
7080,1.0,848907.132,Xochimilco,viudo/a,707422.61,Ahorro,2
7509,0.0,471027.4279,Milpa Alta,viudo/a,466363.79,Ahorro,2
7775,0.0,713594.29,Magdalena Contreras,viudo/a,706529.0,Ahorro,2
8308,1.0,966489.588,Benito Juarez,viudo/a,805407.99,Ahorro,2
8521,0.0,282278.7592,Magdalena Contreras,soltero/a,279483.92,Ahorro,2
8548,1.0,749788.104,Alvaro Obregon,casado/a,624823.42,Ahorro,2
8753,0.0,849881.3468,Gustavo A. Madero,viudo/a,841466.68,Ahorro,2
8838,1.0,170823.672,Benito Juarez,viudo/a,142353.06,Ahorro,2
9036,0.0,498842.6158,Tlalpan,viudo/a,493903.58,Ahorro,2
9142,0.0,0.0,Venustiano Carranza,soltero/a,523811.97,Ahorro,2
9271,1.0,617522.244,Alvaro Obregon,soltero/a,514601.87,Ahorro,2
9403,1.0,974033.844,Alvaro Obregon,casado/a,811694.87,Ahorro,2
9648,0.0,521436.4471000001,Magdalena Contreras,casado/a,516273.71,Ahorro,2
9703,1.0,205547.628,Milpa Alta,soltero/a,171289.69,Ahorro,2
9829,1.0,302400.156,Benito Juarez,casado/a,252000.13,Ahorro,2
9919,0.0,249291.1593,Coyoacan,casado/a,246822.93,Ahorro,2
10002,0.0,599910.1646,Coyoacan,soltero/a,593970.46,Ahorro,2
10066,1.0,1076596.416,Gustavo A. Madero,viudo/a,897163.68,Ahorro,2
10093,0.0,0.0,Iztacalco,casado/a,72368.23,Ahorro,2
10125,1.0,835252.0199999999,Miguel Hidalgo,soltero/a,696043.35,Ahorro,2
10479,0.0,0.0,Xochimilco,soltero/a,209896.17,Ahorro,2
10518,0.0,899677.3465,Milpa Alta,casado/a,890769.65,Ahorro,2
10859,0.0,785505.9466,Venustiano Carranza,soltero/a,777728.66,Ahorro,2
10919,0.0,919077.9214,Tlalpan,casado/a,909978.14,Ahorro,2
10975,0.0,556852.4606999999,Azcapotzalco,viudo/a,551339.07,Ahorro,2
10983,0.0,740352.4826,Tlalpan,soltero/a,733022.26,Ahorro,2
10986,0.0,705389.5146,Benito Juarez,viudo/a,698405.46,Ahorro,2
11242,1.0,190268.088,Tlalpan,soltero/a,158556.74,Ahorro,2
11406,0.0,98141.7606,Venustiano Carranza,soltero/a,97170.06,Ahorro,2
11563,0.0,633715.1373,Cuauhtemoc,viudo/a,627440.73,Ahorro,2
11736,0.0,1004390.6721,Cuajimalpa,viudo/a,994446.21,Ahorro,2
11764,0.0,560758.5347,Alvaro Obregon,viudo/a,555206.47,Ahorro,2
11906,0.0,203279.0943,Coyoacan,casado/a,201266.43,Ahorro,2
12012,0.0,602826.9133,Iztacalco,soltero/a,596858.33,Ahorro,2
12197,1.0,559934.868,Miguel Hidalgo,viudo/a,466612.39,Ahorro,2
12210,0.0,200837.591,Tlahuac,viudo/a,198849.1,Ahorro,2
12353,1.0,0.0,Gustavo A. Madero,soltero/a,256501.8,Ahorro,2
12547,1.0,479953.044,Iztapalapa,casado/a,399960.87,Ahorro,2
12567,1.0,964025.676,Tlalpan,casado/a,803354.73,Ahorro,2
12675,1.0,568439.448,Milpa Alta,soltero/a,473699.54,Ahorro,2
12719,1.0,303588.792,Cuajimalpa,viudo/a,252990.66,Ahorro,2
12823,0.0,38648.4479,Miguel Hidalgo,viudo/a,38265.79,Ahorro,2
12928,1.0,184271.604,Iztapalapa,soltero/a,153559.67,Ahorro,2
12931,0.0,585987.0621,Tlalpan,soltero/a,580185.21,Ahorro,2
12966,1.0,73092.492,Benito Juarez,soltero/a,60910.41,Ahorro,2
13062,1.0,638459.9759999999,Milpa Alta,casado/a,532049.98,Ahorro,2
13389,0.0,965647.4256,Xochimilco,casado/a,956086.56,Ahorro,2
13421,0.0,677089.1732,Tlahuac,viudo/a,670385.32,Ahorro,2
13561,1.0,762808.4639999999,Coyoacan,soltero/a,635673.72,Ahorro,2
13695,1.0,215305.692,Cuajimalpa,viudo/a,179421.41,Ahorro,2
13740,1.0,124538.58,Alvaro Obregon,viudo/a,103782.15,Ahorro,2
13797,0.0,79623.148,Tlalpan,soltero/a,78834.8,Ahorro,2
13801,1.0,0.0,Iztapalapa,soltero/a,701724.84,Ahorro,2
13831,0.0,588473.2074,Cuauhtemoc,viudo/a,582646.74,Ahorro,2
14257,1.0,372847.68,Iztacalco,viudo/a,310706.4,Ahorro,2
14274,1.0,0.0,Venustiano Carranza,casado/a,92194.03,Ahorro,2
14526,0.0,374447.8343,Benito Juarez,casado/a,370740.43,Ahorro,2
14606,0.0,61377.8919,Miguel Hidalgo,viudo/a,60770.19,Ahorro,2
14754,1.0,221404.32,Cuajimalpa,casado/a,184503.6,Ahorro,2
14860,1.0,1116754.956,Miguel Hidalgo,casado/a,930629.13,Ahorro,2
14929,0.0,877868.2852,Venustiano Carranza,casado/a,869176.52,Ahorro,2
14941,0.0,766052.6598,Iztacalco,casado/a,758467.98,Ahorro,2
14973,0.0,640788.8339,Benito Juarez,viudo/a,634444.39,Ahorro,2
15018,1.0,302453.052,Tlalpan,soltero/a,252044.21,Ahorro,3
15472,1.0,274528.932,Tlalpan,casado/a,228774.11,Ahorro,2
15580,1.0,369315.624,Benito Juarez,viudo/a,307763.02,Ahorro,2
15783,1.0,383092.38,Alvaro Obregon,casado/a,319243.65,Ahorro,2
15885,1.0,367662.228,Cuajimalpa,casado/a,306385.19,Ahorro,2
16094,0.0,0.0,Miguel Hidalgo,viudo/a,714403.05,Ahorro,2
16112,0.0,309180.8061,Tlalpan,soltero/a,306119.61,Ahorro,2
16136,1.0,269809.404,Iztapalapa,casado/a,224841.17,Ahorro,2
16265,0.0,682155.8584,Cuajimalpa,casado/a,675401.84,Ahorro,3
16570,1.0,92842.476,Venustiano Carranza,viudo/a,77368.73,Ahorro,3
16760,1.0,352392.996,Iztacalco,soltero/a,293660.83,Ahorro,2
16783,0.0,966108.4199,Iztapalapa,soltero/a,956542.99,Ahorro,2
16798,1.0,426546.564,Venustiano Carranza,soltero/a,355455.47,Ahorro,2
16814,0.0,262195.5455,Coyoacan,viudo/a,259599.55,Ahorro,2
16928,0.0,395623.9387,Gustavo A. Madero,viudo/a,391706.87,Ahorro,2
17081,0.0,752144.9295,Magdalena Contreras,casado/a,744697.95,Ahorro,2
17098,1.0,985289.904,Milpa Alta,viudo/a,821074.92,Ahorro,2
17135,0.0,874081.6235,Cuauhtemoc,soltero/a,865427.35,Ahorro,2
17323,1.0,1010883.42,Magdalena Contreras,casado/a,842402.85,Ahorro,3
17468,0.0,292452.0549,Cuajimalpa,casado/a,289556.49,Ahorro,2
17562,0.0,694864.3045999999,Cuauhtemoc,soltero/a,687984.46,Ahorro,2
17596,0.0,899340.3499,Venustiano Carranza,soltero/a,890435.99,Ahorro,2
17879,1.0,630987.792,Venustiano Carranza,soltero/a,525823.16,Ahorro,3
17934,1.0,1168088.22,Benito Juarez,viudo/a,973406.85,Ahorro,2
17961,1.0,745133.7,Gustavo A. Madero,soltero/a,620944.75,Ahorro,2
18009,1.0,984334.164,Tlahuac,viudo/a,820278.47,Ahorro,2
18080,1.0,1090808.136,Tlahuac,casado/a,909006.78,Ahorro,2
18395,0.0,134025.6365,Benito Juarez,viudo/a,132698.65,Ahorro,2
18476,1.0,613428.396,Benito Juarez,casado/a,511190.33,Ahorro,2
18571,0.0,650086.4697,Iztapalapa,casado/a,643649.97,Ahorro,2
18698,1.0,909260.232,Venustiano Carranza,viudo/a,757716.86,Ahorro,2
18801,0.0,8477.233,Benito Juarez,soltero/a,8393.3,Ahorro,2
19186,0.0,317659.4632,Tlalpan,viudo/a,314514.32,Ahorro,2
19335,0.0,537719.0610999999,Coyoacan,soltero/a,532395.11,Ahorro,2
19353,0.0,202458.4592,Miguel Hidalgo,soltero/a,200453.92,Ahorro,2
19586,1.0,933277.932,Iztapalapa,casado/a,777731.61,Ahorro,2
19713,1.0,119808.816,Alvaro Obregon,soltero/a,99840.68,Ahorro,2
19864,1.0,568987.068,Magdalena Contreras,soltero/a,474155.89,Ahorro,2
19903,0.0,358390.7331,Cuauhtemoc,soltero/a,354842.31,Ahorro,2
19904,1.0,587881.836,Iztapalapa,casado/a,489901.53,Ahorro,2
20219,1.0,774166.404,Venustiano Carranza,viudo/a,645138.67,Ahorro,2
20261,1.0,1107230.904,Azcapotzalco,viudo/a,922692.42,Ahorro,2
20306,1.0,311023.932,Xochimilco,casado/a,259186.61,Ahorro,2
20347,1.0,294185.388,Azcapotzalco,viudo/a,245154.49,Ahorro,2
20397,1.0,937188.192,Tlalpan,soltero/a,780990.16,Ahorro,2
20499,1.0,888919.1279999999,Venustiano Carranza,viudo/a,740765.94,Ahorro,2
20582,0.0,905659.9098,Iztapalapa,casado/a,896692.98,Ahorro,2
20650,1.0,492596.60399999993,Cuauhtemoc,soltero/a,410497.17,Ahorro,2
20925,1.0,873629.604,Coyoacan,casado/a,728024.67,Ahorro,2
21093,0.0,385946.0985,Xochimilco,soltero/a,382124.85,Ahorro,2
21206,0.0,516015.8579,Iztacalco,soltero/a,510906.79,Ahorro,2
21209,1.0,58985.484,Tlalpan,viudo/a,49154.57,Ahorro,2
21254,1.0,110489.256,Milpa Alta,soltero/a,92074.38,Ahorro,2
21309,1.0,1101978.312,Gustavo A. Madero,casado/a,918315.26,Ahorro,2
21601,1.0,776066.0279999999,Xochimilco,soltero/a,646721.69,Ahorro,2
21651,1.0,830856.9600000001,Tlalpan,soltero/a,692380.8,Ahorro,2
21677,0.0,495390.5671,Azcapotzalco,viudo/a,490485.71,Ahorro,2
21700,1.0,1011823.224,Alvaro Obregon,casado/a,843186.02,Ahorro,2
21714,1.0,1029687.6,Tlahuac,casado/a,858073.0,Ahorro,2
21733,0.0,426116.7376,Magdalena Contreras,soltero/a,421897.76,Ahorro,2
21750,1.0,256960.848,Coyoacan,soltero/a,214134.04,Ahorro,2
21793,1.0,844673.2559999999,Magdalena Contreras,viudo/a,703894.38,Ahorro,2
21799,0.0,820406.2037,Milpa Alta,viudo/a,812283.37,Ahorro,2
22176,0.0,107724.8729,Iztapalapa,casado/a,106658.29,Ahorro,2
22183,0.0,0.0,Iztapalapa,casado/a,619150.3,Ahorro,2
