cliente_id,credit_aprobado,línea_credito_potencial
1,0.0,279387.55340000003
3,0.0,0.0
6,0.0,0.0
7,1.0,417284.964
8,0.0,0.0
9,0.0,954118.0634999999
11,0.0,977430.7623
15,0.0,19149.9535
16,0.0,818316.2309
17,0.0,701615.3971
19,0.0,0.0
20,0.0,227581.8658
21,0.0,964865.3523
23,0.0,717724.6951
24,0.0,0.0
26,0.0,559082.5306
27,0.0,211781.9308
29,0.0,0.0
30,0.0,292781.7795
33,1.0,0.0
34,1.0,995206.3439999999
35,0.0,200644.2972
39,1.0,751989.132
40,0.0,0.0
41,0.0,302630.2895
42,0.0,470203.06590000005
43,0.0,345321.3028
44,0.0,625201.5645
47,0.0,590390.1571
48,0.0,507889.7918
51,1.0,0.0
53,0.0,0.0
54,0.0,844101.6723
61,1.0,189006.072
62,0.0,0.0
63,0.0,917846.4183
64,1.0,0.0
66,0.0,114334.424
68,0.0,0.0
69,0.0,855625.8430000001
71,0.0,292032.62210000004
72,0.0,0.0
74,0.0,521312.3787
75,0.0,0.0
78,0.0,670496.4992000001
80,0.0,0.0
81,0.0,137981.29140000002
82,1.0,709315.356
84,0.0,0.0
85,0.0,0.0
86,1.0,756972.588
87,0.0,537064.8336
89,0.0,517705.03239999997
91,0.0,0.0
94,0.0,312668.3664
96,0.0,630737.4553
99,1.0,0.0
100,1.0,736917.2399999999
103,0.0,763058.2623
105,1.0,0.0
106,0.0,999315.1897999999
112,1.0,114734.76
113,0.0,205582.00540000002
114,0.0,0.0
116,0.0,41359.257600000004
117,0.0,587034.9876
119,0.0,0.0
120,0.0,868289.1725
121,0.0,443082.00049999997
122,1.0,969815.424
124,0.0,434938.3806
125,0.0,0.0
127,0.0,880217.6462
129,1.0,0.0
131,0.0,954747.5561
132,0.0,0.0
134,0.0,959545.2177
136,0.0,51179.7199
137,0.0,0.0
138,1.0,266440.584
139,0.0,935677.8168
141,0.0,517857.9161
142,0.0,0.0
143,0.0,532628.449
145,0.0,0.0
146,1.0,1071902.868
147,0.0,143472.49980000002
149,0.0,42741.4123
151,0.0,612669.7067000001
152,0.0,0.0
154,0.0,689660.2493
158,1.0,1148690.172
159,0.0,881495.4174
160,1.0,0.0
162,0.0,0.0
164,0.0,847236.4901
165,0.0,0.0
166,0.0,0.0
170,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,646845.3191000001
178,0.0,353860.9841
179,0.0,161135.56160000002
181,0.0,1008966.2347
182,0.0,767032.3901
189,0.0,459532.5573
192,0.0,45756.939
193,0.0,727375.3865
194,0.0,662560.1313
199,0.0,641789.855
200,0.0,0.0
204,0.0,548971.2388
206,0.0,63353.1489
207,1.0,0.0
211,0.0,0.0
212,0.0,497207.7894
213,0.0,279665.92960000003
214,0.0,427940.5249
215,0.0,617115.3328000001
216,0.0,755665.1936
217,0.0,595580.8097
219,0.0,688593.7398
220,1.0,0.0
222,0.0,0.0
223,0.0,356673.37960000004
226,0.0,864024.9727
227,1.0,0.0
228,0.0,0.0
230,0.0,980480.326
231,0.0,0.0
235,0.0,0.0
236,0.0,127811.8337
237,0.0,551335.1943000001
240,0.0,103193.3564
241,1.0,0.0
242,0.0,393363.6698
243,1.0,695113.4639999999
246,1.0,210058.284
249,0.0,235732.7274
250,1.0,55602.804
251,0.0,78871.0111
252,0.0,196549.7875
255,0.0,828495.7179
258,0.0,0.0
260,0.0,45365.8165
266,0.0,426680.0752
267,0.0,0.0
269,1.0,0.0
270,0.0,266331.86919999996
271,1.0,0.0
272,0.0,111710.38339999999
276,0.0,1006574.0699
277,0.0,649862.0679
278,0.0,990986.4268
279,0.0,0.0
281,0.0,346396.7205
283,0.0,340659.4559
284,0.0,417719.335
285,1.0,800978.412
286,1.0,520520.68799999997
287,0.0,619736.6464
289,0.0,944638.4256999999
290,0.0,362852.3576
291,0.0,862112.9013
293,0.0,0.0
294,1.0,886730.1959999999
298,1.0,1029369.648
301,0.0,908656.398
309,0.0,733815.6515
310,0.0,707241.8748
311,0.0,858729.0983
316,0.0,722336.3248
318,0.0,565160.6096
319,0.0,804012.2271
322,0.0,740129.7877
325,0.0,195816.8103
329,0.0,112048.4203
331,0.0,13001.8108
332,0.0,360319.6513
335,1.0,874901.5079999999
337,0.0,1009349.6711
338,0.0,0.0
341,0.0,0.0
344,0.0,145330.1625
345,1.0,0.0
346,0.0,0.0
349,0.0,429313.327
352,0.0,399461.53469999996
354,1.0,515674.728
356,0.0,118630.1459
357,0.0,961983.6607
359,0.0,40213.0389
360,0.0,0.0
364,0.0,337239.8888
367,0.0,471389.6442
368,1.0,633508.2
370,0.0,271400.2916
375,0.0,0.0
376,1.0,1143170.304
377,0.0,329958.5867
382,0.0,0.0
385,0.0,646285.4458
386,0.0,0.0
387,0.0,0.0
390,0.0,545353.7520999999
392,0.0,199515.6727
396,0.0,82007.6469
397,1.0,987589.716
398,0.0,619641.7568999999
399,0.0,0.0
401,0.0,669125.4443999999
402,0.0,35265.2307
404,0.0,517129.2011
405,0.0,553241.0946
409,0.0,0.0
410,0.0,0.0
414,1.0,0.0
415,1.0,0.0
421,0.0,767373.5681
422,1.0,422822.36399999994
423,1.0,0.0
424,0.0,90080.7789
425,1.0,288913.82399999996
