"id_cliente","saldo_promedio","tipo_cuenta","total_depositos"
122,"808179.520000000000","Ahorro","2"
128,"496120.910000000000","Ahorro","2"
138,"222033.820000000000","Ahorro","3"
369,"338130.850000000000","Ahorro","2"
393,"163640.290000000000","Ahorro","3"
397,"822991.430000000000","Ahorro","2"
410,"301360.310000000000","Ahorro","2"
508,"448224.860000000000","Ahorro","2"
518,"859390.300000000000","Ahorro","2"
547,"284310.670000000000","Ahorro","2"
574,"529770.320000000000","Ahorro","2"
729,"519588.460000000000","Ahorro","2"
777,"155190.650000000000","Ahorro","2"
786,"163628.760000000000","Ahorro","2"
837,"837366.540000000000","Ahorro","2"
857,"457351.080000000000","Ahorro","2"
861,"922767.190000000000","Ahorro","2"
897,"631281.980000000000","Ahorro","2"
900,"210700.280000000000","Ahorro","2"
928,"499569.950000000000","Ahorro","2"
956,"335663.540000000000","Ahorro","2"
1002,"442228.650000000000","Ahorro","2"
1085,"55931.390000000000","Ahorro","2"
1136,"22982.010000000000","Ahorro","2"
1153,"178681.260000000000","Ahorro","2"
1388,"986013.820000000000","Ahorro","2"
1418,"124590.130000000000","Ahorro","2"
1520,"638951.080000000000","Ahorro","2"
1542,"905918.460000000000","Ahorro","2"
1545,"979324.980000000000","Ahorro","2"
1608,"379227.480000000000","Ahorro","2"
1664,"201039.340000000000","Ahorro","2"
1702,"974808.340000000000","Ahorro","2"
1703,"734440.070000000000","Ahorro","2"
1727,"606358.830000000000","Ahorro","2"
1735,"395667.740000000000","Ahorro","3"
1915,"234512.290000000000","Ahorro","2"
2045,"783136.200000000000","Ahorro","2"
2047,"332968.680000000000","Ahorro","2"
2099,"806728.580000000000","Ahorro","2"
2226,"931102.200000000000","Ahorro","2"
2239,"246765.960000000000","Ahorro","3"
2278,"357741.620000000000","Ahorro","2"
2370,"97949.750000000000","Ahorro","2"
2379,"439276.140000000000","Ahorro","2"
2397,"892490.780000000000","Ahorro","2"
2575,"590214.820000000000","Ahorro","2"
2816,"482773.780000000000","Ahorro","2"
3035,"982485.920000000000","Ahorro","2"
3154,"958300.600000000000","Ahorro","2"
3196,"386055.410000000000","Ahorro","2"
3345,"415345.480000000000","Ahorro","2"
3598,"490122.620000000000","Ahorro","3"
3747,"286965.050000000000","Ahorro","2"
3958,"357000.620000000000","Ahorro","2"
3966,"960614.820000000000","Ahorro","2"
4077,"255635.080000000000","Ahorro","2"
4150,"764915.570000000000","Ahorro","2"
4232,"74969.240000000000","Ahorro","2"
4235,"407568.850000000000","Ahorro","2"
4382,"575600.030000000000","Ahorro","2"
4546,"345134.260000000000","Ahorro","3"
4582,"306662.700000000000","Ahorro","2"
4603,"384651.830000000000","Ahorro","2"
4628,"811061.710000000000","Ahorro","2"
4636,"768447.780000000000","Ahorro","2"
4676,"986480.240000000000","Ahorro","3"
4692,"138016.180000000000","Ahorro","2"
4895,"544433.860000000000","Ahorro","2"
4970,"503128.460000000000","Ahorro","2"
5011,"916420.930000000000","Ahorro","2"
5055,"967099.620000000000","Ahorro","2"
5119,"178920.730000000000","Ahorro","2"
5138,"173326.220000000000","Ahorro","3"
5186,"456147.180000000000","Ahorro","2"
5274,"862225.660000000000","Ahorro","2"
5396,"385509.920000000000","Ahorro","2"
5425,"391923.380000000000","Ahorro","2"
5591,"713204.860000000000","Ahorro","2"
5612,"821226.920000000000","Ahorro","2"
5643,"597973.170000000000","Ahorro","2"
5649,"110801.420000000000","Ahorro","2"
5654,"476262.220000000000","Ahorro","2"
5662,"830225.490000000000","Ahorro","2"
5719,"922181.720000000000","Ahorro","2"
5757,"408572.930000000000","Ahorro","2"
5983,"764355.840000000000","Ahorro","2"
6121,"271439.740000000000","Ahorro","2"
6320,"384568.560000000000","Ahorro","3"
6491,"832085.480000000000","Ahorro","2"
6519,"506584.900000000000","Ahorro","2"
6551,"751677.570000000000","Ahorro","2"
6618,"30366.720000000000","Ahorro","2"
6652,"584568.150000000000","Ahorro","2"
6721,"988933.910000000000","Ahorro","2"
6725,"832270.790000000000","Ahorro","2"
6796,"943625.400000000000","Ahorro","2"
6841,"312784.170000000000","Ahorro","2"
7012,"120522.240000000000","Ahorro","2"
7080,"707422.610000000000","Ahorro","2"
7177,"101694.200000000000","Ahorro","2"
7343,"176748.580000000000","Ahorro","2"
7416,"783991.130000000000","Ahorro","2"
7509,"466363.790000000000","Ahorro","2"
7605,"854064.700000000000","Ahorro","2"
7775,"706529.000000000000","Ahorro","2"
8124,"707934.290000000000","Ahorro","2"
8308,"805407.990000000000","Ahorro","2"
8310,"138910.090000000000","Ahorro","2"
8362,"480983.870000000000","Ahorro","2"
8388,"411281.780000000000","Ahorro","2"
8521,"279483.920000000000","Ahorro","2"
8548,"624823.420000000000","Ahorro","2"
8660,"832910.650000000000","Ahorro","3"
8702,"203380.260000000000","Ahorro","2"
8751,"160580.940000000000","Ahorro","2"
8753,"841466.680000000000","Ahorro","2"
8838,"142353.060000000000","Ahorro","2"
8855,"375808.330000000000","Ahorro","2"
9009,"151264.720000000000","Ahorro","2"
9022,"233688.810000000000","Ahorro","2"
9036,"493903.580000000000","Ahorro","2"
9142,"523811.970000000000","Ahorro","2"
9229,"174371.450000000000","Ahorro","2"
9271,"514601.870000000000","Ahorro","2"
9403,"811694.870000000000","Ahorro","2"
9596,"786024.500000000000","Ahorro","2"
9648,"516273.710000000000","Ahorro","2"
9673,"923890.760000000000","Ahorro","2"
9691,"486505.410000000000","Ahorro","2"
9703,"171289.690000000000","Ahorro","2"
9712,"785123.200000000000","Ahorro","2"
9829,"252000.130000000000","Ahorro","2"
9833,"556769.410000000000","Ahorro","2"
9919,"246822.930000000000","Ahorro","2"
10002,"593970.460000000000","Ahorro","2"
10066,"897163.680000000000","Ahorro","2"
10093,"72368.230000000000","Ahorro","2"
10125,"696043.350000000000","Ahorro","2"
10191,"860320.190000000000","Ahorro","2"
10311,"463636.060000000000","Ahorro","2"
10479,"209896.170000000000","Ahorro","2"
10493,"810337.030000000000","Ahorro","2"
10518,"890769.650000000000","Ahorro","2"
10524,"234623.530000000000","Ahorro","2"
10548,"365285.090000000000","Ahorro","2"
10642,"323954.970000000000","Ahorro","2"
10846,"433541.710000000000","Ahorro","2"
10859,"777728.660000000000","Ahorro","2"
10919,"909978.140000000000","Ahorro","2"
10975,"551339.070000000000","Ahorro","2"
10983,"733022.260000000000","Ahorro","2"
10986,"698405.460000000000","Ahorro","2"
11100,"462905.750000000000","Ahorro","2"
11133,"157302.210000000000","Ahorro","2"
11192,"238751.280000000000","Ahorro","2"
11242,"158556.740000000000","Ahorro","2"
11264,"502563.950000000000","Ahorro","2"
11349,"5119.8700000000000000","Ahorro","2"
11406,"97170.060000000000","Ahorro","2"
11432,"935708.270000000000","Ahorro","2"
11563,"627440.730000000000","Ahorro","2"
11714,"948564.540000000000","Ahorro","2"
11736,"994446.210000000000","Ahorro","2"
11764,"555206.470000000000","Ahorro","2"
11778,"676138.370000000000","Ahorro","2"
11874,"372027.870000000000","Ahorro","2"
11884,"437882.640000000000","Ahorro","2"
11906,"201266.430000000000","Ahorro","2"
11995,"985058.480000000000","Ahorro","2"
12012,"596858.330000000000","Ahorro","2"
12197,"466612.390000000000","Ahorro","2"
12210,"198849.100000000000","Ahorro","2"
12353,"256501.800000000000","Ahorro","2"
12547,"399960.870000000000","Ahorro","2"
12567,"803354.730000000000","Ahorro","2"
12631,"881801.050000000000","Ahorro","2"
12675,"473699.540000000000","Ahorro","2"
12719,"252990.660000000000","Ahorro","2"
12823,"38265.790000000000","Ahorro","2"
12846,"80697.810000000000","Ahorro","2"
12928,"153559.670000000000","Ahorro","2"
12931,"580185.210000000000","Ahorro","2"
12966,"60910.410000000000","Ahorro","2"
13038,"935972.700000000000","Ahorro","2"
13062,"532049.980000000000","Ahorro","2"
13192,"600542.140000000000","Ahorro","2"
13299,"310436.410000000000","Ahorro","2"
13339,"855716.250000000000","Ahorro","3"
13389,"956086.560000000000","Ahorro","2"
13421,"670385.320000000000","Ahorro","2"
13424,"140252.960000000000","Ahorro","2"
13561,"635673.720000000000","Ahorro","2"
13599,"6213.7300000000000000","Ahorro","2"
13695,"179421.410000000000","Ahorro","2"
13740,"103782.150000000000","Ahorro","2"
13797,"78834.800000000000","Ahorro","2"
13801,"701724.840000000000","Ahorro","2"
13810,"505939.970000000000","Ahorro","2"
13831,"582646.740000000000","Ahorro","2"
13879,"161130.250000000000","Ahorro","2"
13929,"753658.940000000000","Ahorro","3"
14013,"756302.830000000000","Ahorro","2"
14080,"761440.260000000000","Ahorro","3"
14095,"635992.590000000000","Ahorro","2"
14257,"310706.400000000000","Ahorro","2"
14274,"92194.030000000000","Ahorro","2"
14310,"112808.970000000000","Ahorro","2"
14526,"370740.430000000000","Ahorro","2"
14540,"265662.300000000000","Ahorro","2"
14586,"802743.980000000000","Ahorro","2"
14606,"60770.190000000000","Ahorro","2"
14754,"184503.600000000000","Ahorro","2"
14794,"144329.670000000000","Ahorro","2"
14860,"930629.130000000000","Ahorro","2"
14877,"432495.690000000000","Ahorro","2"
14929,"869176.520000000000","Ahorro","2"
14941,"758467.980000000000","Ahorro","2"
14973,"634444.390000000000","Ahorro","2"
15013,"826168.190000000000","Ahorro","2"
15018,"252044.210000000000","Ahorro","3"
15222,"476262.100000000000","Ahorro","2"
15224,"746431.620000000000","Ahorro","2"
15310,"833794.070000000000","Ahorro","2"
15472,"228774.110000000000","Ahorro","2"
15580,"307763.020000000000","Ahorro","2"
15783,"319243.650000000000","Ahorro","2"
15789,"502298.730000000000","Ahorro","2"
15885,"306385.190000000000","Ahorro","2"
15891,"311199.020000000000","Ahorro","2"
15903,"397968.500000000000","Ahorro","2"
16038,"672429.790000000000","Ahorro","2"
16082,"933736.810000000000","Ahorro","2"
16094,"714403.050000000000","Ahorro","2"
16112,"306119.610000000000","Ahorro","2"
16136,"224841.170000000000","Ahorro","2"
16244,"833679.570000000000","Ahorro","2"
16265,"675401.840000000000","Ahorro","3"
16510,"648214.950000000000","Ahorro","3"
16536,"45305.980000000000","Ahorro","2"
16570,"77368.730000000000","Ahorro","3"
16760,"293660.830000000000","Ahorro","2"
16783,"956542.990000000000","Ahorro","2"
16798,"355455.470000000000","Ahorro","2"
16814,"259599.550000000000","Ahorro","2"
16834,"761442.380000000000","Ahorro","2"
16928,"391706.870000000000","Ahorro","2"
16952,"204959.640000000000","Ahorro","2"
17010,"820898.890000000000","Ahorro","2"
17081,"744697.950000000000","Ahorro","2"
17098,"821074.920000000000","Ahorro","2"
17115,"322677.200000000000","Ahorro","2"
17135,"865427.350000000000","Ahorro","2"
17214,"790616.870000000000","Ahorro","2"
17300,"232927.320000000000","Ahorro","2"
17323,"842402.850000000000","Ahorro","3"
17468,"289556.490000000000","Ahorro","2"
17508,"205141.010000000000","Ahorro","2"
17562,"687984.460000000000","Ahorro","2"
17596,"890435.990000000000","Ahorro","2"
17632,"650228.740000000000","Ahorro","2"
17706,"571797.560000000000","Ahorro","2"
17869,"197320.870000000000","Ahorro","2"
17879,"525823.160000000000","Ahorro","3"
17931,"123082.890000000000","Ahorro","2"
17934,"973406.850000000000","Ahorro","2"
17961,"620944.750000000000","Ahorro","2"
17971,"528848.600000000000","Ahorro","2"
18009,"820278.470000000000","Ahorro","2"
18031,"827268.160000000000","Ahorro","2"
18041,"330819.560000000000","Ahorro","2"
18080,"909006.780000000000","Ahorro","2"
18395,"132698.650000000000","Ahorro","2"
18476,"511190.330000000000","Ahorro","2"
18571,"643649.970000000000","Ahorro","2"
18650,"605806.540000000000","Ahorro","2"
18651,"955401.980000000000","Ahorro","2"
18698,"757716.860000000000","Ahorro","2"
18801,"8393.3000000000000000","Ahorro","2"
18836,"335984.120000000000","Ahorro","2"
19007,"820489.380000000000","Ahorro","3"
19186,"314514.320000000000","Ahorro","2"
19214,"926957.040000000000","Ahorro","3"
19335,"532395.110000000000","Ahorro","2"
19353,"200453.920000000000","Ahorro","2"
19494,"226693.920000000000","Ahorro","2"
19586,"777731.610000000000","Ahorro","2"
19713,"99840.680000000000","Ahorro","2"
19864,"474155.890000000000","Ahorro","2"
19903,"354842.310000000000","Ahorro","2"
19904,"489901.530000000000","Ahorro","2"
19954,"972764.070000000000","Ahorro","2"
19975,"368701.560000000000","Ahorro","2"
20219,"645138.670000000000","Ahorro","2"
20261,"922692.420000000000","Ahorro","2"
20296,"243999.560000000000","Ahorro","2"
20306,"259186.610000000000","Ahorro","2"
20347,"245154.490000000000","Ahorro","2"
20397,"780990.160000000000","Ahorro","2"
20478,"806599.080000000000","Ahorro","2"
20499,"740765.940000000000","Ahorro","2"
20582,"896692.980000000000","Ahorro","2"
20650,"410497.170000000000","Ahorro","2"
20850,"314631.780000000000","Ahorro","2"
20925,"728024.670000000000","Ahorro","2"
20954,"515217.620000000000","Ahorro","2"
21093,"382124.850000000000","Ahorro","2"
21206,"510906.790000000000","Ahorro","2"
21209,"49154.570000000000","Ahorro","2"
21254,"92074.380000000000","Ahorro","2"
21269,"138216.270000000000","Ahorro","2"
21309,"918315.260000000000","Ahorro","2"
21471,"526801.970000000000","Ahorro","2"
21472,"252298.420000000000","Ahorro","2"
21512,"601167.530000000000","Ahorro","2"
21560,"290702.530000000000","Ahorro","2"
21589,"286682.310000000000","Ahorro","2"
21601,"646721.690000000000","Ahorro","2"
21602,"325018.090000000000","Ahorro","2"
21651,"692380.800000000000","Ahorro","2"
21677,"490485.710000000000","Ahorro","2"
21685,"709926.620000000000","Ahorro","2"
21700,"843186.020000000000","Ahorro","2"
21714,"858073.000000000000","Ahorro","2"
21727,"457400.820000000000","Ahorro","2"
21733,"421897.760000000000","Ahorro","2"
21750,"214134.040000000000","Ahorro","2"
21793,"703894.380000000000","Ahorro","2"
21799,"812283.370000000000","Ahorro","2"
21888,"83002.490000000000","Ahorro","2"
22176,"106658.290000000000","Ahorro","2"
22183,"619150.300000000000","Ahorro","2"
22200,"865945.450000000000","Ahorro","2"
